instruments/trombone,Notes,midi,inicio,fim,duracao,i,j,avg conf,std dev,eye_pos
instruments/trombone/20211004_171826.mp4,297,63.0,159.35,160.16,0.8100000000000023,15935.0,16016.0,0.9443179368972778,0.16628541421218426,"[[868.4166666666667, 396.8333333333333], [963.6666666666667, 419.0833333333333]]"
instruments/trombone/20211004_171826.mp4,298,63.0,160.19,160.33,0.14000000000001478,16019.0,16033.0,0.8961062431335449,0.20164480247696612,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,309,61.0,163.92,164.09,0.17000000000001592,16392.0,16409.0,0.9203187227249146,0.046972740520943114,"[[902.8333333333334, 419.3333333333333], [997.5, 449.3333333333333]]"
instruments/trombone/20211004_171826.mp4,311,63.0,164.17,164.36,0.19000000000002615,16417.0,16436.0,0.9064834117889404,0.03609679161162927,"[[903.1666666666666, 421.6666666666667], [998.5, 450.6666666666667]]"
instruments/trombone/20211004_171826.mp4,316,63.0,165.49,170.18,4.689999999999998,16549.0,17018.0,0.9636748433113098,0.08047361480906483,"[[893.5, 428.1666666666667], [991.1666666666666, 455.8333333333333]]"
instruments/trombone/20211004_171826.mp4,325,63.0,177.53,177.59,0.060000000000002274,17753.0,17759.0,0.8638163208961487,0.08829268176486733,"[[846.0, 451.1666666666667], [941.1666666666666, 454.6666666666667]]"
instruments/trombone/20211004_171826.mp4,339,62.0,187.54,187.74,0.20000000000001705,18754.0,18774.0,0.8985586166381836,0.09150676900711505,"[[79.0, 96.33333333333333], [94.33333333333333, 96.33333333333333]]"
instruments/trombone/20211004_171826.mp4,342,60.0,194.74,200.74,6.0,19474.0,20074.0,0.9516306519508362,0.13983636256751134,"[[1098.1666666666667, 855.5], [1114.3333333333333, 857.8333333333334]]"
instruments/trombone/20211004_171826.mp4,354,54.0,211.59,211.65,0.060000000000002274,21159.0,21165.0,0.872967004776001,0.24283626606484968,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_171826.mp4,366,56.0,236.64,236.77,0.13000000000002387,23664.0,23677.0,0.8709617853164673,0.03960144888343385,"[[785.25, 341.5], [880.5, 344.83333333333337]]"
instruments/trombone/20211004_171826.mp4,395,50.0,280.4,280.45,0.05000000000001137,28040.0,28045.0,0.899227499961853,0.12033174872490093,"[[876.8333333333334, 282.0], [976.5, 282.08333333333337]]"
instruments/trombone/20211004_172642.mp4,44,52.0,33.59,33.65,0.05999999999999517,3359.0,3365.0,0.887847363948822,0.10471914312086822,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_172642.mp4,48,51.0,37.63,37.73,0.09999999999999432,3763.0,3773.0,0.8548702001571655,0.10936932078669401,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_172642.mp4,50,51.0,48.13,48.19,0.05999999999999517,4813.0,4819.0,0.8890895843505859,0.04733381612587389,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_172642.mp4,55,50.0,54.75,57.09,2.3400000000000034,5475.0,5709.0,0.9434316158294678,0.11351973579246408,"[[125.16666666666667, 131.66666666666666], [141.83333333333334, 131.66666666666666]]"
instruments/trombone/20211004_172642.mp4,62,56.0,63.63,63.69,0.05999999999999517,6363.0,6369.0,0.8818233609199524,0.10059889301967577,"[[752.6666666666666, 347.0], [848.75, 343.25]]"
instruments/trombone/20211004_172642.mp4,79,53.0,80.46,80.73,0.27000000000001023,8046.0,8073.0,0.9263023734092712,0.23119045176033487,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_172642.mp4,80,50.0,80.76,80.87,0.10999999999999943,8076.0,8087.0,0.8932055830955505,0.08566910351869607,"[[149.33333333333331, 847.4166666666666], [165.0, 850.3333333333333]]"
instruments/trombone/20211004_174515.mp4,5,59.0,1.39,1.45,0.06000000000000005,139.0,145.0,0.8621341586112976,0.06849247750000681,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_174515.mp4,23,52.0,14.0,14.14,0.14000000000000057,1400.0,1414.0,0.899986207485199,0.036197445803554266,"[[848.8333333333334, 343.1666666666667], [931.0, 356.0]]"
instruments/trombone/20211004_174515.mp4,30,51.0,20.78,25.45,4.669999999999998,2078.0,2545.0,0.9445846676826477,0.17837116761704103,"[[917.1666666666666, 299.3333333333333], [1000.1666666666666, 314.8333333333333]]"
instruments/trombone/20211004_174515.mp4,34,45.0,31.19,31.27,0.0799999999999983,3119.0,3127.0,0.8448361754417419,0.19996033553162887,"[[786.8333333333334, 326.5], [870.1666666666666, 336.3333333333333]]"
instruments/trombone/20211004_174515.mp4,41,50.0,35.27,39.96,4.689999999999998,3527.0,3996.0,0.9698525667190552,0.06079840938085103,"[[790.1666666666666, 295.1666666666667], [873.1666666666666, 311.5]]"
instruments/trombone/20211004_174515.mp4,42,50.0,39.98,40.1,0.12000000000000455,3998.0,4010.0,0.8788108229637146,0.10312304993542401,"[[813.25, 299.0], [894.1666666666667, 313.5]]"
instruments/trombone/20211004_174515.mp4,45,52.0,41.4,41.52,0.12000000000000455,4140.0,4152.0,0.8780110478401184,0.15697223733640084,"[[882.25, 271.0833333333333], [964.75, 289.8333333333333]]"
instruments/trombone/20211004_174515.mp4,52,48.0,46.95,48.77,1.8200000000000003,4695.0,4877.0,0.937644362449646,0.1942735144553061,"[[897.1666666666666, 254.16666666666666], [981.3333333333334, 271.1666666666667]]"
instruments/trombone/20211004_174515.mp4,53,48.0,48.78,48.85,0.07000000000000028,4878.0,4885.0,0.8527740240097046,0.2707464852743456,"[[892.1666666666666, 263.0], [975.0, 276.1666666666667]]"
instruments/trombone/20211004_174515.mp4,117,49.0,82.11,84.68,2.5700000000000074,8211.0,8468.0,0.9244434237480164,0.09804891395350573,"[[905.5, 291.75], [1000.3333333333333, 308.0]]"
instruments/trombone/20211004_174515.mp4,122,45.0,86.12,86.18,0.060000000000002274,8612.0,8618.0,0.859546422958374,0.07504366174070824,"[[923.5833333333333, 359.08333333333337], [1022.25, 372.83333333333337]]"
instruments/trombone/20211004_174515.mp4,131,57.0,89.7,89.82,0.11999999999999034,8970.0,8982.0,0.9106504321098328,0.27599430844178624,"[[1012.8333333333333, 295.83333333333337], [1101.3333333333335, 303.5833333333333]]"
instruments/trombone/20211004_174515.mp4,148,43.0,103.86,103.93,0.07000000000000739,10386.0,10393.0,0.8436570167541504,0.1547661842006104,"[[951.5, 360.5], [1045.1666666666667, 375.3333333333333]]"
instruments/trombone/20211004_174515.mp4,152,49.0,106.3,107.67,1.3700000000000045,10630.0,10767.0,0.9075211882591248,0.12729087323114815,"[[955.8333333333334, 373.0], [1047.8333333333333, 394.1666666666667]]"
instruments/trombone/20211004_174515.mp4,171,49.0,114.54,119.21,4.6699999999999875,11454.0,11921.0,0.927544355392456,0.043050221475866964,"[[895.0, 360.25], [996.0, 389.33333333333337]]"
instruments/trombone/20211004_174515.mp4,172,43.0,119.58,119.64,0.060000000000002274,11958.0,11964.0,0.8416714072227478,0.2618269651308367,"[[859.25, 348.33333333333337], [959.25, 360.33333333333337]]"
instruments/trombone/20211004_174515.mp4,179,64.0,127.47,127.56,0.09000000000000341,12747.0,12756.0,0.844305694103241,0.07043894744800319,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_174515.mp4,183,63.0,135.45,135.52,0.0700000000000216,13545.0,13552.0,0.8544687628746033,0.14097471146650187,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_174515.mp4,188,63.0,135.71,135.78,0.06999999999999318,13571.0,13578.0,0.8484848737716675,0.05021651020386497,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_174515.mp4,214,46.0,154.87,155.01,0.13999999999998636,15487.0,15501.0,0.8354589343070984,0.08544626262855802,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_174515.mp4,224,60.0,158.79,158.85,0.060000000000002274,15879.0,15885.0,0.8664746880531311,0.20166763373321572,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_174515.mp4,225,57.0,158.92,158.99,0.0700000000000216,15892.0,15899.0,0.88055419921875,0.00508542023558789,"[[1076.3333333333333, 850.8333333333334], [1094.3333333333333, 858.5]]"
instruments/trombone/20211004_174515.mp4,226,55.0,160.87,160.94,0.06999999999999318,16087.0,16094.0,0.8893654942512512,0.12212790806649139,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_174515.mp4,253,45.0,176.87,176.93,0.060000000000002274,17687.0,17693.0,0.8634863495826721,0.08709531691084908,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_174515.mp4,259,45.0,178.16,182.94,4.780000000000001,17816.0,18294.0,0.928010880947113,0.11963444542376765,"[[822.3333333333334, 242.66666666666666], [923.8333333333334, 256.0]]"
instruments/trombone/20211004_174515.mp4,285,45.0,202.48,202.59,0.11000000000001364,20248.0,20259.0,0.8640742897987366,0.12428006414165794,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_174515.mp4,288,44.0,204.37,209.84,5.469999999999999,20437.0,20984.0,0.9093385338783264,0.06327020749426403,"[[869.3333333333333, 357.0], [975.3333333333333, 386.5]]"
instruments/trombone/20211004_174515.mp4,321,41.0,245.47,245.54,0.06999999999999318,24547.0,24554.0,0.8843998312950134,0.1829884556468094,"[[nan, nan], [nan, nan]]"
instruments/trombone/20211004_174515.mp4,340,63.0,261.16,261.24,0.07999999999998408,26116.0,26124.0,0.8509671092033386,0.04355102912836942,"[[865.6666666666666, 232.33333333333334], [961.8333333333334, 224.83333333333334]]"
instruments/trombone/20211004_174515.mp4,347,62.0,262.82,262.93,0.11000000000001364,26282.0,26293.0,0.9424116015434265,0.12282071980060984,"[[564.9166666666666, 284.5], [680.8333333333334, 253.33333333333334]]"
