instruments/recorder,Notes,midi,inicio,fim,duracao,i,j,avg conf,std dev,eye_pos
instruments/recorder/20220416_160546.mp4,6,91.0,7.07,7.17,0.09999999999999964,707.0,717.0,0.9024443626403809,0.13006176138111347,"[[1136.5, 221.33333333333334], [1294.6666666666667, 208.5]]"
instruments/recorder/20220416_160546.mp4,9,92.0,10.61,10.67,0.0600000000000005,1061.0,1067.0,0.8347389698028564,0.1583958927729005,"[[1156.3333333333333, 228.0], [1324.8333333333333, 219.16666666666666]]"
instruments/recorder/20220416_160546.mp4,19,94.0,17.58,21.0,3.4200000000000017,1758.0,2100.0,0.8841263651847839,0.17610748696408082,"[[1182.3333333333333, 203.0], [1345.8333333333333, 194.33333333333334]]"
instruments/recorder/20220416_160546.mp4,24,84.0,21.76,21.88,0.11999999999999744,2176.0,2188.0,0.921852171421051,0.10488226495282825,"[[1181.1666666666667, 248.08333333333334], [1348.1666666666665, 229.0]]"
instruments/recorder/20220416_160546.mp4,28,76.0,22.34,22.4,0.05999999999999872,2234.0,2240.0,0.8244350552558899,0.05747505342031971,"[[1181.6666666666667, 237.16666666666666], [1356.6666666666667, 226.16666666666666]]"
instruments/recorder/20220416_160546.mp4,36,94.0,23.91,24.45,0.5399999999999991,2391.0,2445.0,0.9085007905960083,0.10857483654627015,"[[1189.1666666666667, 254.83333333333334], [1361.5, 235.83333333333334]]"
instruments/recorder/20220416_160546.mp4,45,83.0,30.42,30.49,0.06999999999999673,3042.0,3049.0,0.8796428442001343,0.028911531062411212,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220416_160546.mp4,49,53.0,32.16,32.25,0.09000000000000341,3216.0,3225.0,0.88274085521698,0.27251074104029704,"[[1512.0, 111.33333333333333], [1688.0, 71.16666666666667]]"
instruments/recorder/20220416_160546.mp4,51,53.0,32.67,32.73,0.05999999999999517,3267.0,3273.0,0.8593235015869141,0.2710809458541056,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220416_161109.mp4,34,53.0,9.31,9.43,0.11999999999999922,931.0,943.0,0.8448197841644287,0.222740698394366,"[[1127.0833333333333, 243.91666666666669], [1267.4166666666665, 231.08333333333331]]"
instruments/recorder/20220416_161109.mp4,38,53.0,9.64,9.85,0.20999999999999908,964.0,985.0,0.8583936095237732,0.22092780777909163,"[[1121.6666666666667, 211.66666666666666], [1263.8333333333333, 199.83333333333334]]"
instruments/recorder/20220416_161109.mp4,40,53.0,9.99,10.12,0.129999999999999,999.0,1012.0,0.8464816212654114,0.23749664463908812,"[[1127.4166666666667, 205.25], [1272.9166666666665, 194.25]]"
instruments/recorder/20220416_161109.mp4,56,53.0,12.27,12.37,0.09999999999999964,1227.0,1237.0,0.8705893754959106,0.24630266481023225,"[[nan, nan], [nan, nan]]"
instruments/recorder/20220416_161109.mp4,58,53.0,12.42,12.54,0.11999999999999922,1242.0,1254.0,0.8545107841491699,0.2077172031293703,"[[nan, nan], [nan, nan]]"
